step,epoch,split,loss,RPA,RCA,MAE_cents,learning_rate,wall_time_sec
13800,1,train,0.016459,0.6398,0.6446,121.28,5.00e-05,709.4
13900,1,train,0.015741,0.6446,0.6474,109.67,5.00e-05,713.7
14000,1,train,0.015785,0.6552,0.6581,116.63,5.00e-05,718.0
14100,1,train,0.016196,0.6683,0.6731,115.83,5.00e-05,722.3
14200,1,train,0.015802,0.6551,0.6598,113.73,5.00e-05,726.6
14300,1,train,0.015706,0.6499,0.6546,114.69,5.00e-05,730.8
14400,1,train,0.015367,0.6652,0.6681,111.31,5.00e-05,735.1
14500,1,train,0.015956,0.6589,0.6631,112.94,5.00e-05,739.4
14600,1,train,0.015888,0.6506,0.6538,121.24,5.00e-05,743.7
14700,1,train,0.015729,0.6503,0.6548,114.49,5.00e-05,748.0
14800,1,train,0.015343,0.6683,0.6725,113.14,5.00e-05,752.3
14900,1,train,0.015308,0.6697,0.6752,113.12,5.00e-05,756.6
15000,1,train,0.015960,0.6596,0.6648,116.04,5.00e-05,760.9
15100,1,train,0.015644,0.6556,0.6605,114.33,5.00e-05,765.5
15200,1,train,0.016640,0.6307,0.6361,124.96,5.00e-05,769.8
15300,1,train,0.016354,0.6338,0.6379,125.94,5.00e-05,774.1
15400,1,train,0.015599,0.6531,0.6573,112.63,5.00e-05,778.4
15500,1,train,0.016269,0.6393,0.6437,122.79,5.00e-05,782.6
15600,1,train,0.015756,0.6366,0.6385,115.52,5.00e-05,786.9
15700,1,train,0.016198,0.6499,0.6557,123.76,5.00e-05,791.2
15800,1,train,0.015741,0.6524,0.6562,118.89,5.00e-05,795.5
15900,1,train,0.015460,0.6728,0.6750,110.86,5.00e-05,799.8
16000,1,train,0.015547,0.6596,0.6654,111.37,5.00e-05,804.1
16100,1,train,0.015557,0.6677,0.6725,108.24,5.00e-05,808.4
16200,1,train,0.015741,0.6677,0.6732,115.80,5.00e-05,812.7
16300,1,train,0.015872,0.6651,0.6705,113.65,5.00e-05,817.0
16400,1,train,0.015559,0.6669,0.6695,109.22,5.00e-05,821.3
16500,1,train,0.015642,0.6489,0.6538,113.33,5.00e-05,825.6
16600,1,train,0.015717,0.6474,0.6515,105.26,5.00e-05,829.9
16700,1,train,0.016593,0.6456,0.6498,123.74,5.00e-05,834.2
16800,1,train,0.015666,0.6412,0.6460,113.00,5.00e-05,838.5
16900,1,train,0.015536,0.6595,0.6624,113.75,5.00e-05,842.8
17000,1,train,0.015763,0.6628,0.6673,111.02,5.00e-05,847.1
17100,1,train,0.015712,0.6582,0.6611,117.47,5.00e-05,851.4
17200,1,train,0.015815,0.6652,0.6681,117.25,5.00e-05,855.7
17300,1,train,0.015557,0.6728,0.6760,112.21,5.00e-05,860.0
17400,1,train,0.015621,0.6563,0.6624,113.65,5.00e-05,864.3
17500,1,train,0.015992,0.6527,0.6598,118.05,5.00e-05,868.6
17600,1,train,0.015780,0.6464,0.6493,114.56,5.00e-05,872.9
17700,1,train,0.015332,0.6764,0.6805,107.78,5.00e-05,877.2
17800,1,train,0.015685,0.6592,0.6644,115.72,5.00e-05,881.4
17900,1,train,0.015985,0.6565,0.6610,118.77,5.00e-05,885.7
18000,1,train,0.015907,0.6470,0.6514,119.47,5.00e-05,890.1
18100,1,train,0.015730,0.6438,0.6473,113.63,5.00e-05,894.3
18200,1,train,0.015368,0.6708,0.6744,110.52,5.00e-05,898.6
18300,1,train,0.015883,0.6466,0.6504,123.39,5.00e-05,902.9
18400,1,train,0.016016,0.6411,0.6465,120.04,5.00e-05,907.2
18500,1,train,0.015321,0.6642,0.6686,109.88,5.00e-05,911.5
18600,1,train,0.015398,0.6787,0.6816,104.87,5.00e-05,915.8
18700,1,train,0.015961,0.6538,0.6595,120.45,5.00e-05,920.1
18800,1,train,0.015716,0.6536,0.6574,114.22,5.00e-05,924.4
18900,1,train,0.015705,0.6569,0.6604,113.99,5.00e-05,928.7
19000,1,train,0.015310,0.6652,0.6690,109.45,5.00e-05,933.0
19100,1,train,0.015391,0.6631,0.6674,112.31,5.00e-05,937.3
19200,1,train,0.016087,0.6481,0.6528,117.87,5.00e-05,941.6
19300,1,train,0.016403,0.6343,0.6417,122.54,5.00e-05,945.9
19400,1,train,0.015468,0.6406,0.6470,117.79,5.00e-05,950.2
19500,1,train,0.015620,0.6481,0.6539,115.04,5.00e-05,954.5
